Producer Manufacturing,Trucks/Construction/Farm Machinery,603638,艾迪精密,59.91,59.34,64.09,59.66,49.96,59.43,36.25,59.16,23.90,60.53,7.35
Producer Manufacturing,Electrical Products,002850,科达利,70.78,70.30,76.01,70.04,67.22,69.82,59.51,69.66,22.78,71.73,10.88
Process Industries,Industrial Specialties,603906,龙蟠科技,26.94,26.63,29.23,26.79,20.51,26.14,15.20,25.93,16.12,27.28,7.34
Producer Manufacturing,Electrical Products,002850,科达利,70.70,70.29,76.00,70.04,67.22,69.86,59.51,69.69,20.64,71.72,12.99
Health Technology,Biotechnology,300725,药石科技,122.30,120.63,130.47,121.96,114.88,120.31,95.65,118.01,28.59,123.09,4.90
Process Industries,Industrial Specialties,603906,龙蟠科技,27.20,26.65,29.25,26.79,20.51,26.21,15.20,25.96,30.71,27.30,3.75
Process Industries,Industrial Specialties,603906,龙蟠科技,26.88,26.62,29.23,26.78,20.51,26.29,15.20,26.01,12.69,27.27,9.10
Health Technology,Biotechnology,300725,药石科技,122.39,120.64,130.48,121.96,114.88,120.65,95.65,118.33,30.37,123.10,4.62
Process Industries,Chemicals: Specialty,002802,洪汇新材,26.91,26.81,28.64,26.39,24.10,25.78,21.76,25.63,0.05,27.27,17.78
Industrial Services,Engineering & Construction,300617,安靠智电,43.87,43.26,50.56,43.86,38.62,41.59,31.68,41.13,-7.87,45.08,10.90
Electronic Technology,Aerospace & Defense,002179,中航光电,46.49,46.27,48.88,46.35,42.14,45.71,39.67,45.58,7.16,46.92,10.82
Process Industries,Industrial Specialties,603906,龙蟠科技,26.95,26.63,29.23,26.79,20.51,26.37,15.20,26.06,16.69,27.28,7.11
Health Technology,Biotechnology,300725,药石科技,122.06,120.61,130.45,121.96,114.88,120.93,95.65,118.68,23.78,123.07,5.78
Commercial Services,Personnel Services,300662,科锐国际,60.04,58.89,65.14,59.97,52.35,59.08,43.40,59.14,41.28,60.45,4.43
Process Industries,Chemicals: Specialty,002802,洪汇新材,27.14,26.83,28.66,26.39,24.10,25.94,21.76,25.72,21.47,27.29,4.97
Industrial Services,Engineering & Construction,300617,安靠智电,43.95,43.26,50.57,43.86,38.62,42.53,31.68,41.62,-5.90,45.09,9.64
Electronic Technology,Aerospace & Defense,002179,中航光电,46.65,46.28,48.89,46.35,42.14,45.98,39.67,45.71,16.88,46.94,6.13
Industrial Services,Engineering & Construction,300617,安靠智电,44.05,43.27,50.57,43.86,38.62,42.86,31.68,41.77,-3.43,45.10,8.40
Electronic Technology,Electronic Equipment/Instruments,600885,宏发股份,46.00,46.00,49.81,45.85,41.09,45.78,36.92,45.40,-16.63,46.95,4940.67
