Producer Manufacturing,Trucks/Construction/Farm Machinery,603338,浙江鼎力,100.73,98.59,108.36,100.57,94.00,99.82,73.70,100.17,42.85,101.03,3.56
Process Industries,Industrial Specialties,002669,康达新材,18.20,18.16,19.04,18.12,17.72,17.68,16.16,17.65,0.50,18.38,22.23
Consumer Services,Restaurants,603043,广州酒家,37.91,37.72,41.16,37.89,37.60,37.90,33.45,37.98,31.30,38.58,16.69
Electronic Technology,Electronic Equipment/Instruments,300462,华铭智能,25.16,25.03,26.00,25.15,25.07,25.01,24.24,24.88,27.06,25.27,6.23
Health Technology,Biotechnology,603345,安井食品,175.39,173.64,183.43,175.33,158.16,172.24,122.58,171.75,22.31,176.09,4.59
Health Technology,Biotechnology,603345,安井食品,175.66,173.66,183.45,175.33,158.17,173.64,122.58,172.27,26.40,176.11,3.90
Producer Manufacturing,Electrical Products,688122,西部超导,53.65,53.56,58.16,53.38,45.79,53.39,40.46,53.57,27.50,54.71,49.77
Electronic Technology,Electronic Equipment/Instruments,300462,华铭智能,25.19,25.03,26.00,25.15,25.08,25.12,24.24,24.96,31.63,25.27,5.02
Health Technology,Biotechnology,603345,安井食品,175.67,173.66,183.45,175.33,158.17,174.81,122.58,172.79,26.56,176.11,3.88
Health Technology,Biotechnology,603345,安井食品,175.44,173.64,183.43,175.33,158.16,174.86,122.58,173.87,23.07,176.09,4.45
