,sector,industry,code,name,RecommendMA,close,sma200,close_5,sma200_5,close_15,sma200_15,close_60,sma200_60,close_240,sma200_240,close_1w,sma200_1w,close_1m,sma200_1m,prepare_zone
1,Producer Manufacturing,Auto Parts: OEM,200581,苏威孚Ｂ,0.80,16.73,14.70,16.73,16.50,16.73,16.59,16.73,16.40,16.73,15.53,16.73,15.07,16.73,,True
6,Electronic Technology,Electronic Components,603489,八方股份,0.93,243.30,187.09,243.30,230.56,243.30,224.93,243.30,197.90,243.30,198.18,243.30,,243.30,,True
8,Consumer Durables,Electronics/Appliances,603187,海容冷链,0.93,58.86,55.24,58.86,58.05,58.86,58.69,58.86,54.47,58.86,58.08,58.86,,58.86,,True
10,Producer Manufacturing,Industrial Machinery,688200,华峰测控,0.93,376.34,313.32,376.34,338.47,376.34,310.17,376.34,308.61,376.34,349.91,376.34,,376.34,,True
12,Process Industries,Industrial Specialties,603737,三棵树,0.93,244.92,165.40,244.92,240.87,244.92,238.44,244.92,208.75,244.92,180.25,244.92,66.68,244.92,,True
16,Health Technology,Medical Specialties,688029,南微医学,0.80,251.29,206.61,251.29,248.37,251.29,233.55,251.29,210.38,251.29,195.85,251.29,,251.29,,True
17,Health Technology,Medical Specialties,688198,佰仁医疗,0.93,172.62,106.60,172.62,165.59,172.62,161.50,172.62,150.38,172.62,119.02,172.62,,172.62,,True
18,Health Technology,Medical Specialties,688016,心脉医疗,0.80,342.76,276.04,342.76,340.32,342.76,331.75,342.76,307.59,342.76,289.22,342.76,,342.76,,True
21,Technology Services,Packaged Software,603444,吉比特,0.93,454.86,454.38,454.86,447.91,454.86,445.81,454.86,402.17,454.86,375.47,454.86,284.01,454.86,,True
23,Health Technology,Pharmaceuticals: Major,200028,一致Ｂ,0.80,23.47,22.45,23.47,23.14,23.47,22.85,23.47,22.66,23.47,22.15,23.47,28.84,23.47,,True
24,Electronic Technology,Semiconductors,688018,乐鑫科技,0.93,154.25,150.46,154.25,148.65,154.25,139.19,154.25,120.82,154.25,128.40,154.25,,154.25,,True
25,Electronic Technology,Semiconductors,688368,晶丰明源,0.93,318.72,175.23,318.72,297.52,318.72,297.28,318.72,252.55,318.72,206.51,318.72,,318.72,,True
