Producer Manufacturing,Trucks/Construction/Farm Machinery,600761,安徽合力,14.81,14.23,14.69,14.67,16.65,13.60,13.58,12.01,11.96,10.76,10.73,19.33,15.59,10.85,18.26,-16.00,True,False,14.82
Transportation,Other Transportation,603128,华贸物流,7.14,7.16,7.46,7.49,8.67,7.10,7.09,6.44,6.42,5.41,5.40,13.79,10.69,8.45,13.30,-85.95,True,False,-4.79
Transportation,Air Freight/Couriers,603535,嘉诚国际,46.20,47.20,47.87,48.04,54.51,43.73,43.29,32.57,32.28,24.52,24.39,10.83,10.32,10.43,14.09,-101.20,True,False,-4.99
Industrial Services,Engineering & Construction,300712,永福股份,16.29,16.44,17.00,17.07,20.04,16.07,16.05,15.33,15.31,13.79,13.77,13.48,12.39,9.78,16.02,-59.90,True,False,-5.31
Producer Manufacturing,Electrical Products,603063,禾望电气,11.34,11.41,11.73,11.77,13.61,10.65,10.59,9.21,9.17,8.88,8.87,15.33,13.60,11.75,14.37,-111.32,True,False,-5.85
Commercial Services,Miscellaneous Commercial Services,300675,建科院,22.90,23.29,23.38,23.43,30.24,20.17,20.07,17.83,17.73,15.61,15.57,11.01,7.80,6.98,7.97,-64.14,True,False,-15.44
Producer Manufacturing,Electrical Products,300443,金雷股份,30.44,29.48,31.31,31.40,37.88,28.94,28.83,26.18,26.05,20.62,20.54,8.96,6.98,5.85,8.34,-80.33,True,False,-8.56
Producer Manufacturing,Electrical Products,300447,全信股份,19.20,19.09,19.66,19.71,24.62,17.48,17.38,14.68,14.59,12.84,12.80,7.33,6.19,6.60,7.82,-65.26,True,False,-11.73
Industrial Services,Engineering & Construction,002487,大金重工,10.08,9.81,10.18,10.20,11.68,9.42,9.36,8.05,8.01,6.56,6.54,13.87,10.88,9.05,13.19,-60.58,True,False,-15.28
Electronic Technology,Computer Peripherals,300729,乐歌股份,61.02,61.00,65.20,65.64,79.84,60.06,59.67,45.91,45.48,30.03,29.80,19.18,15.37,14.38,17.28,-98.01,True,False,-4.50
Producer Manufacturing,Electrical Products,300443,金雷股份,29.88,29.48,31.26,31.40,37.91,28.93,28.83,26.17,26.05,20.62,20.54,6.58,6.18,5.85,8.34,-96.48,True,False,-5.84
Industrial Services,Engineering & Construction,002487,大金重工,9.95,9.81,10.17,10.20,11.69,9.41,9.36,8.05,8.01,6.56,6.54,11.35,10.04,9.05,13.19,-76.28,True,False,-7.81
Producer Manufacturing,Electrical Products,300447,全信股份,18.97,19.09,19.64,19.71,24.63,17.47,17.38,14.68,14.59,12.84,12.80,6.28,5.84,6.60,7.82,-73.89,True,False,-8.44
Electronic Technology,Computer Peripherals,300729,乐歌股份,61.02,61.00,65.20,65.64,79.84,60.06,59.67,45.91,45.48,30.03,29.80,19.18,15.37,14.38,17.28,-98.01,True,False,-4.50
Industrial Services,Engineering & Construction,002487,大金重工,9.95,9.81,10.17,10.20,11.69,9.41,9.36,8.05,8.01,6.56,6.54,11.35,10.04,9.05,13.19,-76.28,True,False,-7.81
Electronic Technology,Computer Peripherals,300729,乐歌股份,60.91,61.00,65.19,65.64,79.85,60.06,59.67,45.91,45.48,30.02,29.80,19.00,15.31,14.38,17.28,-99.22,True,False,-4.42
Producer Manufacturing,Electrical Products,300443,金雷股份,29.96,29.48,31.26,31.40,37.91,28.93,28.83,26.17,26.05,20.62,20.54,6.92,6.30,5.85,8.34,-94.20,True,False,-6.10
Producer Manufacturing,Electrical Products,300447,全信股份,18.70,19.09,19.61,19.71,24.65,17.47,17.38,14.67,14.59,12.84,12.80,6.19,5.81,6.60,7.82,-83.90,True,False,-6.50
